np (1/m3),ni (1/m3),ne (1/m3),Te (eV),L_mom (W),L_ex (W),L_ion (W),L_ion_acc (W),L_e_collect (W),EN (Td),Charge,Tp (K),Hump Energy (eV),Vp (eV),Removal (eV),Power Loss (W),Pin (W),ed/ii,ed/ea,therm/ii,photo/ii,quench/ii,pressure (pa),Vsh=1300,total heat loss (W),Radiation %,Conduction %,Thermionic  Emission %,Electron Impaction %,Ion Impaction %,H3+ Association/Dissociation %,Atomic H Impaction %,Ar 3P2 Impaction %,Ar 3P0 Impaction %,Ar Excitation Frequency (1/s)
5.00E+15,1.12E+16,1.53E+14,7.68E+00,1.46E-03,8.39E+00,4.71E+00,5.82E+01,1.81E+01,7.61E+02,2.21E+00,2.34E+03,7.20E+00,-1.99E-01,4.58E+00,8.94E+01,9.00E+01,1.59E+02,8.63E-01,1.57E+02,2.91E+00,4.59E-02,4.00E+00,,5.34E-11,4.23E+01,3.29E+01,2.47E+01,9.63E+01,1.37E-01,5.40E-01,3.06E+00,2.49E-03,1.26E-04,
5.00E+15,1.59E+16,1.41E+14,7.67E+00,2.01E-03,1.16E+01,6.49E+00,5.51E+01,1.65E+01,7.30E+02,3.15E+00,2.28E+03,7.28E+00,-2.84E-01,4.49E+00,8.96E+01,9.00E+01,6.56E+01,7.05E-01,6.47E+01,1.53E+00,3.38E-02,6.00E+00,,5.38E-11,3.30E+01,4.75E+01,1.95E+01,9.44E+01,2.72E-01,1.05E+00,4.31E+00,3.51E-03,1.78E-04,
5.00E+15,1.96E+16,1.32E+14,7.69E+00,2.51E-03,1.46E+01,8.18E+00,5.11E+01,1.54E+01,7.20E+02,3.89E+00,2.22E+03,7.35E+00,-3.50E-01,4.42E+00,8.92E+01,9.00E+01,3.24E+01,5.25E-01,3.11E+01,1.08E+00,2.98E-02,8.00E+00,,5.46E-11,2.54E+01,6.06E+01,1.40E+01,9.28E+01,4.10E-01,1.55E+00,5.24E+00,4.26E-03,2.16E-04,
5.00E+15,2.25E+16,1.25E+14,7.74E+00,2.97E-03,1.74E+01,9.86E+00,4.72E+01,1.47E+01,7.21E+02,4.48E+00,2.15E+03,7.40E+00,-4.03E-01,4.37E+00,8.92E+01,9.00E+01,1.59E+01,3.38E-01,1.50E+01,8.92E-01,2.87E-02,1.00E+01,,5.55E-11,1.92E+01,7.20E+01,8.75E+00,9.15E+01,5.38E-01,2.00E+00,5.93E+00,4.82E-03,2.45E-04,
5.00E+15,2.50E+16,1.22E+14,7.70E+00,3.47E-03,2.02E+01,1.14E+01,4.34E+01,1.41E+01,7.06E+02,4.97E+00,2.07E+03,7.45E+00,-4.48E-01,4.33E+00,8.92E+01,9.00E+01,6.23E+00,1.64E-01,5.45E+00,7.88E-01,2.85E-02,1.20E+01,,5.55E-11,1.34E+01,8.24E+01,4.15E+00,9.03E+01,6.62E-01,2.44E+00,6.57E+00,5.35E-03,2.71E-04,
5.00E+15,2.70E+16,1.27E+14,7.54E+00,4.19E-03,2.36E+01,1.28E+01,3.94E+01,1.41E+01,6.65E+02,5.37E+00,1.93E+03,7.48E+00,-4.84E-01,4.29E+00,8.99E+01,9.00E+01,1.72E+00,5.33E-02,9.32E-01,7.47E-01,2.96E-02,1.40E+01,,5.42E-11,7.74E+00,9.09E+01,1.35E+00,8.90E+01,7.79E-01,2.91E+00,7.27E+00,5.91E-03,3.00E-04,
5.00E+15,2.78E+16,1.33E+14,7.35E+00,4.68E-03,2.52E+01,1.32E+01,3.69E+01,14.08714826,6.23E+02,5.53E+00,1.83E+03,7.50E+00,-4.98E-01,4.276449177,8.95E+01,9.00E+01,9.65E-01,3.22E-02,1.99E-01,0.730060698,3.00E-02,1.50E+01,,5.26E-11,5.14E+00,9.40E+01,8.26E-01,8.83E+01,8.35E-01,3.17E+00,7.71E+00,6.27E-03,3.18E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.83E-02,1.83E+00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
