 ,Area,Mean,Min,Max,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret,MinThr,MaxThr,Length
1,5.345E0,1.990E2,8.945E1,6.110E2,4.760E1,2.228E1,3.498E2,2.396E2,4.760E1,3.988E-2,-3.403E38,3.4e38,2.228E1
2,5.857E0,2.460E2,1.650E2,4.120E2,4.024E1,2.436E1,3.362E2,2.218E2,4.024E1,1.005E-1,-3.403E38,3.4e38,2.436E1
3,5.971E0,2.440E2,6.893E1,5.090E2,7.837E1,2.483E1,3.133E2,2.175E2,7.837E1,5.792E-2,-3.403E38,3.4e38,2.483E1
4,5.174E0,2.989E2,2.369E2,5.730E2,-3.687E1,2.146E1,3.241E2,1.846E2,1.431E2,4.873E-2,-3.403E38,3.4e38,2.146E1
5,6.255E0,1.871E2,7.224E1,3.740E2,-5.060E1,2.592E1,3.441E2,1.724E2,1.294E2,4.494E-2,-3.403E38,3.4e38,2.592E1
6,5.857E0,2.820E2,1.910E2,5.310E2,-1.350E2,2.428E1,2.969E2,2.017E2,4.500E1,1.776E-15,-3.403E38,3.4e38,2.428E1
7,5.345E0,1.669E2,7.954E1,2.925E2,-1.149E2,2.208E1,2.811E2,1.903E2,6.510E1,3.671E-2,-3.403E38,3.4e38,2.208E1
8,6.312E0,2.536E2,1.190E2,4.091E2,-7.900E1,2.624E1,2.783E2,1.953E2,1.010E2,1.621E-3,-3.403E38,3.4e38,2.624E1
9,5.743E0,2.219E2,1.317E2,3.188E2,-1.227E2,2.381E1,2.489E2,2.089E2,5.726E1,9.776E-2,-3.403E38,3.4e38,2.381E1
10,6.141E0,2.040E2,1.136E2,3.368E2,-1.282E2,2.547E1,2.168E2,2.082E2,5.184E1,6.990E-2,-3.403E38,3.4e38,2.547E1
11,4.549E0,1.949E2,1.394E2,4.600E2,1.396E2,1.878E1,2.404E2,2.203E2,1.396E2,4.440E-2,-3.403E38,3.4e38,1.878E1
